match_id,throw,comeback,loss,first_blood_time,patch
8546764667,,1515.0,,108,58
8546708485,13704.0,,8182.0,171,58
8519475558,,2463.0,,2,58
8519360897,929.0,,24428.0,204,58
8519308618,4094.0,,17459.0,206,58
8519267160,,422.0,,129,58
8519216231,,120.0,,117,58
8519106301,7998.0,,24186.0,62,58
8519065594,,140.0,,67,58
8518927868,840.0,,28436.0,160,58
8518915783,,15584.0,,181,58
8518809970,784.0,,17245.0,43,58
8518787853,,0.0,,225,58
8518676242,,0.0,,109,58
8518659830,,1852.0,,7,58
8518560731,-12.0,,22632.0,194,58
8518553647,,1164.0,,374,58
8517531441,889.0,,19823.0,222,58
8517496456,1704.0,,19422.0,120,58
8517437251,,327.0,,164,58
8517384231,,6283.0,,360,58
8517321948,,2155.0,,8,58
8517299077,,377.0,,125,58
8517206564,309.0,,22914.0,213,58
8517163697,,0.0,,117,58
8517060495,4853.0,,2662.0,108,58
8517045039,19.0,,24511.0,282,58
8516930248,,0.0,,354,58
8516930243,727.0,,19993.0,53,58
8515797626,198.0,,33275.0,322,58
8515777831,,1257.0,,390,58
8515672226,0.0,,21028.0,194,58
8515655427,5352.0,,23281.0,140,58
8515559230,0.0,,19548.0,149,58
8515536844,6225.0,,19391.0,41,58
8515460944,,16.0,,0,58
8515438384,,146.0,,13,58
8515327983,3764.0,,17001.0,90,58
8515315870,1525.0,,20037.0,103,58
8515218704,,1404.0,,177,58
8515211892,,0.0,,13,58
8514447596,0.0,,24775.0,73,58
8514376804,,0.0,,113,58
8514375533,3520.0,,7488.0,56,58
8514308079,,0.0,,461,58
8514293820,10886.0,,5348.0,39,58
8514189882,10488.0,,10895.0,86,58
8514117469,,413.0,,60,58
8514083299,,0.0,,267,58
8514015959,1969.0,,19416.0,213,58
8514005494,3948.0,,22114.0,181,58
8513849620,,250.0,,216,58
8513845843,,4420.0,,110,58
8513746052,596.0,,24458.0,0,58
8513742985,,0.0,,106,58
8512979658,,931.0,,180,58
8512954465,,0.0,,111,58
8512870110,,1487.0,,160,58
8512866926,,1141.0,,195,58
8512795885,-21.0,,27213.0,143,58
8512785311,4070.0,,16076.0,271,58
8512694265,311.0,,30525.0,10,58
8512668142,1821.0,,16082.0,44,58
8512564878,2.0,,21798.0,5,58
8512558125,15351.0,,12291.0,19,58
8512457660,,1997.0,,250,58
8512434051,102.0,,21113.0,91,58
8512319677,,6255.0,,2,58
8512316447,,7913.0,,246,58
8511527716,,0.0,,3,58
8511503985,,3.0,,8,58
8511443531,8045.0,,3900.0,0,58
8511416361,0.0,,28692.0,4,58
8511343462,,5436.0,,112,58
8511339795,,0.0,,173,58
8511224972,15358.0,,0.0,11,58
8511217827,,698.0,,221,58
8511133117,,2551.0,,108,58
8511098125,0.0,,17212.0,37,58
8511020424,1632.0,,15319.0,206,58
8510981680,,610.0,,78,58
8510884183,456.0,,13373.0,198,58
8510883608,,4144.0,,179,58
8594217096,-658.0,,33729.0,0,58
8594108564,,758.0,,146,58
8594008284,,244.0,,161,58
8593890943,795.0,,19502.0,371,58
8592494459,,635.0,,345,58
8592409166,,844.0,,177,58
8592272555,1302.0,,15144.0,346,58
8592220102,1842.0,,13498.0,301,58
8590957766,2751.0,,13725.0,129,58
8590894249,378.0,,16141.0,220,58
8590773850,,1775.0,,224,58
