match_id,radiant_win,start_time,duration,leagueid,radiant_score,dire_score,radiant_team_id,radiant_team_name,dire_team_id,dire_team_name,series_id,series_type,total_kills,game_speed_categorize
8699897894,False,2026-02-21 11:31:00,25.17,19269,6,21,8261500,,2163,,1066888.0,1.0,27,Fast
8699819713,False,2026-02-21 10:25:15,34.22,19269,8,34,8261500,,2163,,1066888.0,1.0,42,Normal
8698996024,False,2026-02-20 19:21:40,61.67,19269,19,33,2586976,,8255888,,1066585.0,1.0,52,Late
8698904895,True,2026-02-20 17:49:57,41.87,19269,32,9,2586976,,8255888,,1066585.0,1.0,41,Late
8698782516,True,2026-02-20 16:29:56,50.08,19269,32,18,8255888,,2586976,,1066585.0,1.0,50,Late
8698668899,True,2026-02-20 15:01:00,47.07,19269,46,25,9247354,,8291895,,1066533.0,3.0,71,Late
8698660679,False,2026-02-20 14:57:57,38.77,19269,27,28,8261500,,9338413,,1066549.0,3.0,55,Normal
8698630441,False,2026-02-20 14:35:01,36.33,19269,18,28,8254145,,36,,1066534.0,3.0,46,Normal
8698613744,False,2026-02-20 14:26:00,35.85,19269,16,40,9964962,,7119388,,1066537.0,3.0,56,Normal
8698568968,False,2026-02-20 13:47:02,42.12,19269,8,24,9338413,,8261500,,1066549.0,3.0,32,Late
8698542436,True,2026-02-20 13:26:00,27.15,19269,26,2,9964962,,7119388,,1066537.0,3.0,28,Fast
8698519769,False,2026-02-20 13:25:00,42.92,19269,15,35,8254145,,36,,1066534.0,3.0,50,Late
8698519674,False,2026-02-20 13:25:00,62.58,19269,32,51,8291895,,9247354,,1066533.0,3.0,83,Late
8698438568,False,2026-02-20 12:00:00,44.37,19269,18,36,67,,2163,,1066507.0,3.0,54,Late
8698437169,True,2026-02-20 11:59:01,32.35,19269,43,20,9823272,,9467224,,1066508.0,3.0,63,Normal
8698436662,False,2026-02-20 12:02:55,63.92,19269,25,34,8255888,,2586976,,1066504.0,3.0,59,Late
8698428156,False,2026-02-20 11:58:00,29.9,19269,7,38,9351740,,9572001,,1066505.0,3.0,45,Fast
8698371604,True,2026-02-20 10:58:18,30.6,19269,34,16,9467224,,9823272,,1066508.0,3.0,50,Normal
